date,value
2022-06-08,159.93
2022-06-09,164.40
2022-06-10,149.27
2022-06-11,183.67
2022-06-12,195.61
2022-06-13,162.37
2022-06-14,151.38
2022-06-15,156.38
2022-06-16,157.13
2022-06-17,156.41
2022-06-18,206.12
2022-06-19,210.84
2022-06-20,154.29
2022-06-21,159.90
2022-06-22,162.88
2022-06-23,154.80
2022-06-24,169.70
2022-06-25,186.20
2022-06-26,196.88
2022-06-27,163.23
2022-06-28,165.92
2022-06-29,147.82
2022-06-30,150.12
2022-07-01,145.20
2022-07-02,193.72
2022-07-03,200.37
2022-07-04,172.77
2022-07-05,166.27
2022-07-06,158.28
2022-07-07,150.11
2022-07-08,174.39
2022-07-09,201.84
2022-07-10,202.61
2022-07-11,176.94
2022-07-12,176.03
2022-07-13,173.85
2022-07-14,155.99
2022-07-15,170.20
2022-07-16,199.56
2022-07-17,209.08
2022-07-18,178.17
2022-07-19,172.94
2022-07-20,171.46
2022-07-21,170.27
2022-07-22,166.15
2022-07-23,208.34
2022-07-24,214.78
2022-07-25,159.31
2022-07-26,176.03
2022-07-27,176.54
2022-07-28,171.86
2022-07-29,181.60
2022-07-30,219.06
2022-07-31,208.30
2022-08-01,167.18
2022-08-02,172.30
2022-08-03,165.36
2022-08-04,165.01
2022-08-05,157.48
2022-08-06,206.89
2022-08-07,200.81
2022-08-08,162.31
2022-08-09,179.10
2022-08-10,183.80
2022-08-11,182.56
2022-08-12,173.40
2022-08-13,197.79
2022-08-14,202.97
2022-08-15,171.91
2022-08-16,177.17
2022-08-17,158.46
2022-08-18,180.64
2022-08-19,165.63
2022-08-20,206.34
2022-08-21,202.41
2022-08-22,185.43
2022-08-23,166.65
2022-08-24,182.45
2022-08-25,180.07
2022-08-26,163.27
2022-08-27,210.47
2022-08-28,226.46
2022-08-29,177.52
2022-08-30,180.29
2022-08-31,185.55
2022-09-01,180.22
2022-09-02,190.34
2022-09-03,209.43
2022-09-04,229.93
2022-09-05,192.05
2022-09-06,190.14
2022-09-07,171.88
2022-09-08,178.69
2022-09-09,171.30
2022-09-10,231.55
2022-09-11,227.41
2022-09-12,179.73
2022-09-13,183.64
2022-09-14,174.79
2022-09-15,192.09
2022-09-16,178.38
2022-09-17,208.60
2022-09-18,206.72
2022-09-19,183.54
2022-09-20,178.00
2022-09-21,169.37
2022-09-22,172.08
2022-09-23,190.48
2022-09-24,224.24
2022-09-25,220.65
2022-09-26,175.94
2022-09-27,177.72
2022-09-28,190.46
2022-09-29,192.93
2022-09-30,185.12
2022-10-01,213.80
2022-10-02,231.31
2022-10-03,197.85
2022-10-04,174.90
2022-10-05,183.63
2022-10-06,199.26
2022-10-07,190.44
2022-10-08,230.44
2022-10-09,222.38
2022-10-10,189.27
2022-10-11,195.82
2022-10-12,177.56
2022-10-13,176.70
2022-10-14,191.27
2022-10-15,239.75
2022-10-16,221.10
2022-10-17,187.67
2022-10-18,200.75
2022-10-19,178.67
2022-10-20,184.65
2022-10-21,204.48
2022-10-22,243.19
2022-10-23,237.01
2022-10-24,195.27
2022-10-25,189.80
2022-10-26,195.09
2022-10-27,197.96
2022-10-28,204.40
2022-10-29,246.30
2022-10-30,229.78
2022-10-31,203.99
2022-11-01,193.82
2022-11-02,191.91
2022-11-03,197.54
2022-11-04,200.35
2022-11-05,224.75
2022-11-06,244.24
2022-11-07,186.12
2022-11-08,203.55
2022-11-09,194.81
2022-11-10,210.42
2022-11-11,200.29
2022-11-12,230.02
2022-11-13,241.24
2022-11-14,182.29
2022-11-15,185.93
2022-11-16,194.21
2022-11-17,182.73
2022-11-18,186.28
2022-11-19,233.64
2022-11-20,244.16
2022-11-21,205.52
2022-11-22,206.88
2022-11-23,194.54
2022-11-24,188.36
2022-11-25,192.32
2022-11-26,242.77
2022-11-27,247.22
2022-11-28,195.71
2022-11-29,206.90
2022-11-30,205.91
2022-12-01,190.98
2022-12-02,207.59
2022-12-03,229.70
2022-12-04,251.36
2022-12-05,214.17
2022-12-06,188.23
2022-12-07,217.88
2022-12-08,198.63
2022-12-09,198.96
2022-12-10,246.86
2022-12-11,245.38
2022-12-12,200.99
2022-12-13,206.54
2022-12-14,207.03
2022-12-15,215.01
2022-12-16,215.45
2022-12-17,235.22
2022-12-18,247.77
2022-12-19,212.00
2022-12-20,211.91
2022-12-21,216.05
2022-12-22,211.47
2022-12-23,196.87
2022-12-24,239.90
2022-12-25,255.57
2022-12-26,194.39
2022-12-27,221.79
2022-12-28,220.50
2022-12-29,217.13
2022-12-30,207.43
2022-12-31,259.84
2023-01-01,258.03
2023-01-02,197.64
2023-01-03,223.50
2023-01-04,224.90
2023-01-05,204.97
2023-01-06,205.40
2023-01-07,257.98
2023-01-08,249.77
2023-01-09,216.98
2023-01-10,225.48
2023-01-11,227.11
2023-01-12,203.24
2023-01-13,211.08
2023-01-14,238.91
2023-01-15,239.75
2023-01-16,205.26
2023-01-17,229.13
2023-01-18,212.86
2023-01-19,201.57
2023-01-20,217.46
2023-01-21,248.82
2023-01-22,263.52
2023-01-23,221.31
2023-01-24,226.81
2023-01-25,223.36
2023-01-26,228.56
2023-01-27,202.28
2023-01-28,246.48
2023-01-29,258.79
2023-01-30,214.54
2023-01-31,225.75
2023-02-01,232.99
2023-02-02,219.12
2023-02-03,214.78
2023-02-04,256.20
2023-02-05,271.38
2023-02-06,225.62
2023-02-07,205.86
2023-02-08,212.89
2023-02-09,210.57
2023-02-10,209.11
2023-02-11,259.93
2023-02-12,269.50
2023-02-13,228.31
2023-02-14,230.19
2023-02-15,229.98
2023-02-16,209.74
2023-02-17,223.90
2023-02-18,250.43
2023-02-19,276.76
2023-02-20,221.80
2023-02-21,229.32
2023-02-22,235.80
2023-02-23,222.22
2023-02-24,211.54
2023-02-25,270.06
2023-02-26,253.59
2023-02-27,213.52
2023-02-28,211.05
2023-03-01,238.74
2023-03-02,233.67
2023-03-03,213.53
2023-03-04,268.25
2023-03-05,262.63
2023-03-06,242.25
2023-03-07,235.50
2023-03-08,235.96
2023-03-09,243.00
2023-03-10,234.55
2023-03-11,254.54
2023-03-12,283.20
2023-03-13,231.26
2023-03-14,222.30
2023-03-15,234.78
2023-03-16,222.18
2023-03-17,215.64
2023-03-18,284.89
2023-03-19,276.73
2023-03-20,241.13
2023-03-21,243.65
2023-03-22,234.39
2023-03-23,217.83
2023-03-24,220.95
2023-03-25,263.02
2023-03-26,258.81
2023-03-27,223.64
2023-03-28,244.92
2023-03-29,233.37
2023-03-30,235.87
2023-03-31,231.47
2023-04-01,265.50
2023-04-02,285.06
2023-04-03,249.58
2023-04-04,221.76
2023-04-05,233.74
2023-04-06,238.91
2023-04-07,239.48
2023-04-08,274.12
2023-04-09,285.65
2023-04-10,228.82
2023-04-11,238.88
2023-04-12,235.41
2023-04-13,244.16
2023-04-14,237.50
2023-04-15,284.65
2023-04-16,281.47
2023-04-17,241.28
2023-04-18,246.71
2023-04-19,250.88
2023-04-20,248.32
2023-04-21,226.74
2023-04-22,291.67
2023-04-23,294.96
2023-04-24,245.96
2023-04-25,255.53
2023-04-26,239.55
2023-04-27,236.12
2023-04-28,247.28
2023-04-29,290.29
2023-04-30,273.85
2023-05-01,257.35
2023-05-02,228.25
2023-05-03,255.11
2023-05-04,251.16
2023-05-05,249.10
2023-05-06,275.12
2023-05-07,276.30
2023-05-08,236.77
2023-05-09,259.99
2023-05-10,258.10
2023-05-11,238.69
2023-05-12,236.48
2023-05-13,271.61
2023-05-14,272.26
2023-05-15,256.54
2023-05-16,249.64
2023-05-17,242.82
2023-05-18,262.47
2023-05-19,255.66
2023-05-20,280.53
2023-05-21,292.08
2023-05-22,249.30
2023-05-23,242.43
2023-05-24,262.96
2023-05-25,254.85
2023-05-26,236.48
2023-05-27,298.75
2023-05-28,292.65
2023-05-29,263.13
2023-05-30,237.27
2023-05-31,261.80
2023-06-01,254.27
2023-06-02,259.69
2023-06-03,280.61
2023-06-04,280.07
2023-06-05,267.06
2023-06-06,247.48
2023-06-07,260.45
2023-06-08,239.57
2023-06-09,265.92
2023-06-10,305.17
2023-06-11,302.43
2023-06-12,248.90
2023-06-13,268.96
2023-06-14,250.75
2023-06-15,261.54
2023-06-16,270.09
2023-06-17,303.04
2023-06-18,307.99
2023-06-19,268.33
2023-06-20,267.45
2023-06-21,266.20
2023-06-22,257.32
2023-06-23,246.01
2023-06-24,287.56
2023-06-25,287.55
2023-06-26,250.99
2023-06-27,259.02
2023-06-28,245.03
2023-06-29,262.39
2023-06-30,268.49
2023-07-01,292.47
2023-07-02,303.37
2023-07-03,267.09
2023-07-04,246.19
2023-07-05,260.26
2023-07-06,267.98
2023-07-07,269.34
2023-07-08,298.93
2023-07-09,314.39
2023-07-10,264.49
2023-07-11,261.52
2023-07-12,264.68
2023-07-13,264.64
2023-07-14,270.36
2023-07-15,297.73
2023-07-16,291.21
2023-07-17,259.45
2023-07-18,273.91
2023-07-19,262.08
2023-07-20,272.83
2023-07-21,263.00
2023-07-22,298.07
2023-07-23,311.53
2023-07-24,253.06
2023-07-25,265.01
2023-07-26,274.53
2023-07-27,259.72
2023-07-28,262.18
2023-07-29,293.05
2023-07-30,315.44
2023-07-31,270.26
2023-08-01,279.05
2023-08-02,378.57
2023-08-03,271.80
2023-08-04,260.97
2023-08-05,302.51
2023-08-06,319.57
2023-08-07,267.95
2023-08-08,261.91
2023-08-09,266.81
2023-08-10,271.61
2023-08-11,271.52
2023-08-12,302.49
2023-08-13,325.40
2023-08-14,258.47
2023-08-15,270.94
2023-08-16,265.93
2023-08-17,282.83
2023-08-18,271.24
2023-08-19,310.48
2023-08-20,322.60
2023-08-21,277.78
2023-08-22,269.21
2023-08-23,283.08
2023-08-24,261.62
2023-08-25,270.88
2023-08-26,325.91
2023-08-27,318.49
2023-08-28,289.64
2023-08-29,274.44
2023-08-30,271.57
2023-08-31,283.41
2023-09-01,273.80
2023-09-02,312.07
2023-09-03,307.63
2023-09-04,275.18
2023-09-05,264.51
2023-09-06,263.23
2023-09-07,281.20
2023-09-08,270.79
2023-09-09,325.28
2023-09-10,304.53
2023-09-11,265.65
2023-09-12,283.94
2023-09-13,276.65
2023-09-14,291.85
2023-09-15,286.95
2023-09-16,319.23
2023-09-17,315.56
2023-09-18,276.78
2023-09-19,288.68
2023-09-20,275.27
2023-09-21,292.00
2023-09-22,323.98
2023-09-23,335.90
2023-09-24,313.06
2023-09-25,272.16
2023-09-26,290.75
2023-09-27,291.65
2023-09-28,281.06
2023-09-29,285.54
2023-09-30,324.83
2023-10-01,315.13
2023-10-02,280.39
2023-10-03,273.55
2023-10-04,276.95
2023-10-05,272.74
2023-10-06,291.59
2023-10-07,329.12
2023-10-08,312.06
2023-10-09,288.35
2023-10-10,286.06
2023-10-11,287.62
2023-10-12,296.41
2023-10-13,286.90
2023-10-14,342.14
2023-10-15,335.99
2023-10-16,280.71
2023-10-17,291.83
2023-10-18,285.99
2023-10-19,274.78
2023-10-20,277.89
2023-10-21,333.58
2023-10-22,338.03
2023-10-23,288.70
2023-10-24,289.57
2023-10-25,303.55
2023-10-26,291.04
2023-10-27,283.14
2023-10-28,330.94
2023-10-29,339.90
2023-10-30,280.29
2023-10-31,296.56
2023-11-01,298.74
2023-11-02,291.96
2023-11-03,292.72
2023-11-04,332.22
2023-11-05,329.08
2023-11-06,282.59
2023-11-07,301.97
2023-11-08,296.66
2023-11-09,283.99
2023-11-10,282.36
2023-11-11,341.72
2023-11-12,331.38
2023-11-13,299.54
2023-11-14,310.83
2023-11-15,294.79
2023-11-16,294.34
2023-11-17,295.20
2023-11-18,339.35
2023-11-19,347.91
2023-11-20,298.15
2023-11-21,306.18
2023-11-22,293.91
2023-11-23,292.69
2023-11-24,295.52
2023-11-25,353.57
2023-11-26,334.51
2023-11-27,295.02
2023-11-28,307.46
2023-11-29,286.56
2023-11-30,290.39
2023-12-01,293.05
2023-12-02,355.06
2023-12-03,339.07
2023-12-04,427.79
2023-12-05,294.36
2023-12-06,307.43
2023-12-07,290.79
2023-12-08,315.86
2023-12-09,349.01
2023-12-10,353.36
2023-12-11,294.53
2023-12-12,316.67
2023-12-13,299.28
2023-12-14,312.52
2023-12-15,317.73
2023-12-16,339.50
2023-12-17,336.48
2023-12-18,317.56
2023-12-19,315.27
2023-12-20,319.70
2023-12-21,301.85
2023-12-22,299.03
2023-12-23,337.34
2023-12-24,358.36
2023-12-25,309.78
2023-12-26,309.58
2023-12-27,313.26
2023-12-28,297.01
2023-12-29,312.24
2023-12-30,362.88
2023-12-31,344.99
